term,uses,speechpart
devil,11417,
weak,11405,
bob,11390,
soup,11383,
mmmm,11382,
festival,11379,
prove,11363,
june,11353,
education,11342,
nick,11330,
conversation,11310,
earlier,11304,
glasses,11304,
dollars,11301,
view,11297,
sell,11277,
loss,11275,
tommorow,11256,
glory,11253,
nails,11252,
ears,11241,
you'd,11237,
ohh,11231,
kaya,11229,
hehehe,11204,
held,11201,
piss,11201,
papers,11181,
crush,11169,
spain,11165,
log,11145,
saints,11136,
jealous,11120,
birth,11109,
trees,11100,
build,11093,
painting,11089,
pride,11087,
y'all,11084,
=(,11080,emoji
thousand,11065,
wars,11059,
helped,11057,
cover,11040,
bathroom,11033,
october,11033,
physics,11032,
screaming,11032,
common,11020,
solo,11007,
hasn't,10955,
shooting,10949,
ref,10929,
today's,10927,
wasted,10919,
failed,10918,
lips,10915,
government,10903,
peeps,10894,
jam,10890,
scott,10889,
freezing,10884,
burning,10873,
suddenly,10863,
fa,10859,
whos,10850,
iz,10844,
eclipse,10831,
search,10830,
una,10830,
quickly,10827,
rainy,10827,
bieber,10825,
ridiculous,10825,
shots,10815,
ahhhh,10810,
apps,10809,
ashley,10808,
imagine,10808,
bigger,10807,
marathon,10803,
rocks,10792,
mag,10789,
score,10779,
amount,10748,
patience,10744,
butter,10740,
hall,10737,
thunder,10726,
purpose,10710,
lbs,10703,
beast,10690,
yung,10690,
twilight,10679,
har,10672,
sin,10669,
info,10668,
crossed,10663,
rich,10661,
speaking,10639,
opening,10638,
crack,10634,
gaga,10629,
create,10622,
force,10618,
area,10602,
il,10600,
steal,10595,
morgan,10591,
ignore,10586,
rose,10572,
player,10569,
rice,10569,
sittin,10567,
alarm,10547,
boom,10537,
california,10534,
cheer,10532,
-_-,10501,emoji
chest,10495,
sugar,10490,
jobs,10489,
talkin,10488,
press,10487,
eggs,10484,
hari,10477,
marriage,10474,
brand,10468,
yep,10465,
boat,10464,
om,10461,
tests,10458,
anger,10455,
juice,10449,
uni,10436,
dun,10432,
sayin,10414,
record,10407,
warning,10399,
admit,10389,
paying,10376,
fireworks,10359,
missin,10350,
delicious,10336,
mac,10332,
obama,10327,
darn,10323,
jessica,10322,
matters,10322,
flat,10314,
pls,10306,
calm,10305,
names,10297,
chuck,10289,
quiz,10279,
degree,10278,
hardest,10274,
lakers,10272,
term,10263,
size,10261,
bomb,10255,
speed,10249,
angels,10245,
named,10242,
cleaned,10241,
station,10236,
pag,10233,
annoyed,10230,
pair,10214,
nu,10212,
tsk,10212,
describe,10209,
lack,10206,
haircut,10193,
mother's,10193,
healthy,10191,
corner,10187,
credit,10170,
reasons,10167,
fault,10162,
failure,10160,
cried,10148,
hurting,10143,
august,10142,
cd,10135,
channel,10135,
playin,10134,
exist,10129,
bears,10127,
traffic,10125,
bother,10107,
disney,10093,
someday,10093,
falls,10089,
laying,10087,
ch,10075,
loose,10074,
hannah,10060,
bound,10055,
chicago,10046,
weekends,10041,
trick,10036,
skool,10033,
chemistry,10023,
funn,10023,
university,10018,
winning,10015,
pet,10010,
dem,10001,
christian,9997,
grrr,9993,
bc,9989,
oil,9982,
member,9981,
chair,9977,
hearing,9975,
alice,9969,
skype,9960,
written,9955,
bell,9951,
knw,9947,
president,9946,
bbq,9935,
shout,9930,
flowers,9927,
created,9918,
dick,9917,
walls,9913,
wii,9898,
life's,9892,
meal,9883,
neck,9883,
rachel,9870,
btw,9867,
lying,9861,
pe,9856,
homecoming,9852,
gon,9851,
papa,9851,
planet,9839,
rid,9828,
tells,9824,
site,9823,
drove,9821,
ya'll,9821,
bite,9818,
minds,9815,
ocean,9807,
succeed,9794,
net,9777,
birds,9771,
germany,9759,
peoples,9754,
golden,9753,
dey,9748,
smells,9743,
version,9743,
awkward,9734,
answers,9731,
est,9730,
buying,9727,
noticed,9727,
freak,9726,
bay,9712,
excuse,9711,
mission,9711,
robert,9711,
forgotten,9707,
depressed,9704,
del,9701,
sees,9701,
acting,9690,
usual,9680,
planned,9666,
knock,9662,
lagi,9660,
farm,9654,
prince,9652,
bf,9651,
knee,9633,
whoo,9620,
army,9612,
animals,9607,
crappy,9605,
ja,9600,
jason,9600,
hockey,9587,
draw,9575,
tour,9574,
nightmare,9573,
chapter,9571,
survive,9557,
figured,9556,
barely,9546,
videos,9543,
hugs,9538,
wished,9538,
baseball,9536,
dry,9534,
saya,9533,
ku,9529,
thomas,9510,
mental,9502,
zoo,9498,
arrived,9486,
dollar,9468,
stage,9466,
aq,9464,
doctors,9463,
valentine's,9461,
hm,9456,
load,9455,
loads,9452,
shore,9447,
mah,9441,
session,9435,
screwed,9431,
allowed,9430,
nyt,9428,
tyler,9427,
drug,9426,
lifetime,9426,
opportunity,9426,
avatar,9419,
offer,9417,
daniel,9416,
alpha,9413,
tak,9403,
talaga,9396,
risk,9395,
andrew,9393,
mexico,9393,
oscar,9391,
ish,9388,
pure,9377,
kitty,9375,
odd,9347,
pokemon,9346,
bags,9344,
iron,9340,
bein,9333,
badly,9310,
bull,9309,
bi,9302,
kay,9284,
selling,9284,
dreaming,9282,
large,9280,
makin,9280,
momma,9278,
desire,9277,
dentist,9269,
hangover,9267,
tag,9259,
lines,9257,
metal,9254,
su,9254,
understanding,9254,
fried,9253,
military,9251,
smith,9237,
drawing,9232,
east,9231,
shitty,9229,
